lane,type,d,v,delta_crash,P_lC,P_nlC
1,1,11,30,0.37,0.58,0.42
1,1,11,31,0.35,0.59,0.41
1,1,11,32,0.34,0.6,0.4
1,1,11,33,0.33,0.61,0.39
1,1,11,34,0.32,0.62,0.38
1,1,12,15,0.8,0.31,0.69
1,1,12,16,0.75,0.33,0.67
1,1,12,17,0.71,0.35,0.65
1,1,12,18,0.67,0.37,0.63
1,1,12,19,0.63,0.39,0.61
1,1,12,20,0.6,0.41,0.59
1,1,12,21,0.57,0.43,0.57
1,1,12,22,0.55,0.45,0.55
1,1,12,23,0.52,0.46,0.54
1,1,12,24,0.5,0.48,0.52
1,1,12,25,0.48,0.49,0.51
1,1,12,26,0.46,0.5,0.5
1,1,12,27,0.44,0.52,0.48
1,1,12,28,0.43,0.53,0.47
1,1,12,29,0.41,0.54,0.46
1,1,12,30,0.4,0.55,0.45
1,1,12,31,0.39,0.56,0.44
1,1,12,32,0.38,0.57,0.43
1,1,12,33,0.36,0.58,0.42
1,1,12,34,0.35,0.59,0.41
1,1,13,15,0.87,0.28,0.72
1,1,13,16,0.81,0.3,0.7
1,1,13,17,0.76,0.32,0.68
1,1,13,18,0.72,0.34,0.66
1,1,13,19,0.68,0.36,0.64
1,1,13,20,0.65,0.38,0.62
1,1,13,21,0.62,0.4,0.6
1,1,13,22,0.59,0.42,0.58
1,1,13,23,0.57,0.43,0.57
1,1,13,24,0.54,0.45,0.55
1,1,13,25,0.52,0.46,0.54
1,1,13,26,0.5,0.48,0.52
1,1,13,27,0.48,0.49,0.51
1,1,13,28,0.46,0.5,0.5
1,1,13,29,0.45,0.51,0.49
1,1,13,30,0.43,0.52,0.48
1,1,13,31,0.42,0.54,0.46
1,1,13,32,0.41,0.55,0.45
1,1,13,33,0.39,0.56,0.44
1,1,13,34,0.38,0.57,0.43
1,1,14,15,0.93,0.25,0.75
1,1,14,16,0.88,0.27,0.73
1,1,14,17,0.82,0.3,0.7
1,1,14,18,0.78,0.32,0.68
1,1,14,19,0.74,0.34,0.66
1,1,14,20,0.7,0.35,0.65
1,1,14,21,0.67,0.37,0.63
1,1,14,22,0.64,0.39,0.61
1,1,14,23,0.61,0.4,0.6
1,1,14,24,0.58,0.42,0.58
1,1,14,25,0.56,0.43,0.57
1,1,14,26,0.54,0.45,0.55
1,1,14,27,0.52,0.46,0.54
1,1,14,28,0.5,0.48,0.52
1,1,14,29,0.48,0.49,0.51
1,1,14,30,0.47,0.5,0.5
1,1,14,31,0.45,0.51,0.49
1,1,14,32,0.44,0.52,0.48
1,1,14,33,0.42,0.53,0.47
1,1,14,34,0.41,0.54,0.46
1,1,15,15,1,0.23,0.77
1,1,15,16,0.94,0.25,0.75
1,1,15,17,0.88,0.27,0.73
1,1,15,18,0.83,0.29,0.71
1,1,15,19,0.79,0.31,0.69
1,1,15,20,0.75,0.33,0.67
1,1,15,21,0.71,0.35,0.65
1,1,15,22,0.68,0.36,0.64
1,1,15,23,0.65,0.38,0.62
1,1,15,24,0.63,0.39,0.61
