type,lane,d,v,delta_crash,P_lC,P_nlC
1,1,9,26,0.35,0.39,0.61
1,1,9,27,0.33,0.39,0.61
1,1,9,28,0.32,0.39,0.61
1,1,9,29,0.31,0.39,0.61
1,1,9,30,0.3,0.39,0.61
1,1,9,31,0.29,0.39,0.61
1,1,9,32,0.28,0.39,0.61
1,1,9,33,0.27,0.39,0.61
1,1,9,34,0.26,0.39,0.61
1,1,10,15,0.67,0.39,0.61
1,1,10,16,0.63,0.4,0.6
1,1,10,17,0.59,0.4,0.6
1,1,10,18,0.56,0.4,0.6
1,1,10,19,0.53,0.4,0.6
1,1,10,20,0.5,0.4,0.6
1,1,10,21,0.48,0.4,0.6
1,1,10,22,0.45,0.4,0.6
1,1,10,23,0.43,0.4,0.6
1,1,10,24,0.42,0.4,0.6
1,1,10,25,0.4,0.4,0.6
1,1,10,26,0.38,0.4,0.6
1,1,10,27,0.37,0.4,0.6
1,1,10,28,0.36,0.39,0.61
1,1,10,29,0.34,0.39,0.61
1,1,10,30,0.33,0.39,0.61
1,1,10,31,0.32,0.39,0.61
1,1,10,32,0.31,0.39,0.61
1,1,10,33,0.3,0.39,0.61
1,1,10,34,0.29,0.39,0.61
1,1,11,15,0.73,0.39,0.61
1,1,11,16,0.69,0.39,0.61
1,1,11,17,0.65,0.39,0.61
1,1,11,18,0.61,0.4,0.6
1,1,11,19,0.58,0.4,0.6
1,1,11,20,0.55,0.4,0.6
1,1,11,21,0.52,0.4,0.6
1,1,11,22,0.5,0.4,0.6
1,1,11,23,0.48,0.4,0.6
1,1,11,24,0.46,0.4,0.6
1,1,11,25,0.44,0.4,0.6
1,1,11,26,0.42,0.4,0.6
1,1,11,27,0.41,0.4,0.6
1,1,11,28,0.39,0.4,0.6
1,1,11,29,0.38,0.4,0.6
1,1,11,30,0.37,0.4,0.6
1,1,11,31,0.35,0.39,0.61
1,1,11,32,0.34,0.39,0.61
1,1,11,33,0.33,0.39,0.61
1,1,11,34,0.32,0.39,0.61
1,1,12,15,0.8,0.38,0.62
1,1,12,16,0.75,0.39,0.61
1,1,12,17,0.71,0.39,0.61
1,1,12,18,0.67,0.39,0.61
1,1,12,19,0.63,0.4,0.6
1,1,12,20,0.6,0.4,0.6
1,1,12,21,0.57,0.4,0.6
1,1,12,22,0.55,0.4,0.6
1,1,12,23,0.52,0.4,0.6
1,1,12,24,0.5,0.4,0.6
1,1,12,25,0.48,0.4,0.6
1,1,12,26,0.46,0.4,0.6
1,1,12,27,0.44,0.4,0.6
1,1,12,28,0.43,0.4,0.6
1,1,12,29,0.41,0.4,0.6
1,1,12,30,0.4,0.4,0.6
1,1,12,31,0.39,0.4,0.6
1,1,12,32,0.38,0.4,0.6
1,1,12,33,0.36,0.4,0.6
1,1,12,34,0.35,0.39,0.61
1,1,13,15,0.87,0.37,0.63
1,1,13,16,0.81,0.38,0.62
1,1,13,17,0.76,0.39,0.61
1,1,13,18,0.72,0.39,0.61
1,1,13,19,0.68,0.39,0.61
1,1,13,20,0.65,0.39,0.61
1,1,13,21,0.62,0.4,0.6
1,1,13,22,0.59,0.4,0.6
1,1,13,23,0.57,0.4,0.6
1,1,13,24,0.54,0.4,0.6
1,1,13,25,0.52,0.4,0.6
1,1,13,26,0.5,0.4,0.6
1,1,13,27,0.48,0.4,0.6
1,1,13,28,0.46,0.4,0.6
1,1,13,29,0.45,0.4,0.6
1,1,13,30,0.43,0.4,0.6
1,1,13,31,0.42,0.4,0.6
1,1,13,32,0.41,0.4,0.6
1,1,13,33,0.39,0.4,0.6
1,1,13,34,0.38,0.4,0.6
1,1,14,15,0.93,0.36,0.64
1,1,14,16,0.88,0.37,0.63
1,1,14,17,0.82,0.38,0.62
1,1,14,18,0.78,0.38,0.62
1,1,14,19,0.74,0.39,0.61
1,1,14,20,0.7,0.39,0.61
1,1,14,21,0.67,0.39,0.61
1,1,14,22,0.64,0.4,0.6
1,1,14,23,0.61,0.4,0.6
1,1,14,24,0.58,0.4,0.6
1,1,14,25,0.56,0.4,0.6
1,1,14,26,0.54,0.4,0.6
1,1,14,27,0.52,0.4,0.6
1,1,14,28,0.5,0.4,0.6
1,1,14,29,0.48,0.4,0.6
1,1,14,30,0.47,0.4,0.6
1,1,14,31,0.45,0.4,0.6
1,1,14,32,0.44,0.4,0.6
1,1,14,33,0.42,0.4,0.6
1,1,14,34,0.41,0.4,0.6
1,1,15,15,1,0.35,0.65
1,1,15,16,0.94,0.36,0.64
1,1,15,17,0.88,0.37,0.63
1,1,15,18,0.83,0.38,0.62
1,1,15,19,0.79,0.38,0.62
1,1,15,20,0.75,0.39,0.61
1,1,15,21,0.71,0.39,0.61
1,1,15,22,0.68,0.39,0.61
1,1,15,23,0.65,0.39,0.61
1,1,15,24,0.63,0.4,0.6
1,1,15,25,0.6,0.4,0.6
1,1,15,26,0.58,0.4,0.6
1,1,15,27,0.56,0.4,0.6
1,1,15,28,0.54,0.4,0.6
1,1,15,29,0.52,0.4,0.6
1,1,15,30,0.5,0.4,0.6
1,1,15,31,0.48,0.4,0.6
1,1,15,32,0.47,0.4,0.6
1,1,15,33,0.45,0.4,0.6
1,1,15,34,0.44,0.4,0.6
1,1,16,15,1.07,0.34,0.66
1,1,16,16,1,0.35,0.65
1,1,16,17,0.94,0.36,0.64
1,1,16,18,0.89,0.37,0.63
1,1,16,19,0.84,0.38,0.62
1,1,16,20,0.8,0.38,0.62
1,1,16,21,0.76,0.39,0.61
1,1,16,22,0.73,0.39,0.61
1,1,16,23,0.7,0.39,0.61
1,1,16,24,0.67,0.39,0.61
1,1,16,25,0.64,0.4,0.6
